date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2000-01-01,MUNICIPIO,35001,ES705,ES705A2,ES705A22,5665,39.3,2882,2783,96.56,5329,336,5.93,855,3913,897,559,242,96,15.09,69.07,15.83,44.77,22.92,21.85,104.91,95.32,10.7,26.98,4451.16,127.27,7.55,120,153,390,248,122,1033,5070,233,362,89.5,4.11,6.39
2000-01-01,MUNICIPIO,35002,ES705,ES705A3,ES705A32,20692,33.1,10559,10133,95.97,20033,659,3.18,4125,14946,1621,1050,441,130,19.94,72.23,7.83,38.45,10.85,27.6,39.3,254.47,8.02,27.21,7889.72,262.27,8.35,763,817,1706,1150,604,5040,18689,1139,864,90.32,5.5,4.18
2000-01-01,MUNICIPIO,35003,ES704,ES704A0,ES704A01,4821,32.6,2669,2152,80.63,4433,388,8.05,824,3682,315,198,87,30,17.09,76.37,6.53,30.93,8.56,22.38,38.23,261.59,9.52,27.62,25024.8,19.26,1.55,164,190,333,186,137,1010,2962,1339,520,61.44,27.77,10.79
2000-01-01,MUNICIPIO,35004,ES708,ES708A0,ES708A01,43711,33.2,22211,21500,96.8,42129,1582,3.62,8075,32383,3253,1933,1004,316,18.47,74.08,7.44,34.98,10.05,24.94,40.28,248.23,9.71,30.86,2427.54,1800.63,65.17,1431,1489,3381,2406,1367,10074,32869,8610,2232,75.2,19.7,5.11
2000-01-01,MUNICIPIO,35005,ES705,ES705A2,ES705A23,1572,39,803,769,95.77,1563,9,0.57,193,1139,240,161,62,17,12.28,72.46,15.27,38.02,21.07,16.94,124.35,80.42,7.08,25.83,6641.9,23.67,0.14,21,40,82,72,47,262,1510,34,28,96.06,2.16,1.78
2000-01-01,MUNICIPIO,35006,ES705,ES705A1,ES705A10,31973,36.3,16016,15957,99.63,31724,249,0.78,5567,22566,3840,2485,1004,351,17.41,70.58,12.01,41.69,17.02,24.67,68.98,144.97,9.14,26.15,3283.87,973.64,7.58,1051,1055,2298,1584,826,6814,30447,935,591,95.23,2.92,1.85
2000-01-01,MUNICIPIO,35007,ES704,ES704A0,ES704A01,677,40.2,348,329,94.54,630,47,6.94,110,435,132,59,47,26,16.25,64.25,19.5,55.63,30.34,25.29,120,83.33,19.7,35.61,10370.9,6.53,0.45,12,23,57,27,27,146,609,18,50,89.96,2.66,7.39
2000-01-01,MUNICIPIO,35008,ES705,ES705A2,ES705A21,6814,37.1,3453,3361,97.34,6758,56,0.82,1143,4793,878,563,217,98,16.77,70.34,12.89,42.17,18.32,23.85,76.82,130.18,11.16,24.72,1602.78,425.14,3.49,204,221,478,318,170,1391,6545,157,112,96.05,2.3,1.64
2000-01-01,MUNICIPIO,35009,ES705,ES705A2,ES705A22,22291,36.8,11176,11115,99.45,22164,127,0.57,3744,15633,2914,1894,775,245,16.8,70.13,13.07,42.59,18.64,23.95,77.83,128.48,8.41,26.6,6254.51,356.4,2.03,524,694,1712,1125,603,4658,21716,362,213,97.42,1.62,0.96
2000-01-01,MUNICIPIO,35010,ES708,ES708A0,ES708A02,4201,39.2,2161,2040,94.4,3775,426,10.14,661,2902,638,375,188,75,15.73,69.08,15.19,44.76,21.98,22.78,96.52,103.61,11.76,29.47,14565.3,28.84,2.92,141,128,264,163,77,773,3323,416,462,79.1,9.9,11
2000-01-01,MUNICIPIO,35011,ES705,ES705A3,ES705A32,24616,34,12461,12155,97.54,24272,344,1.4,4598,17798,2220,1440,581,199,18.68,72.3,9.02,38.31,12.47,25.83,48.28,207.12,8.96,26.17,3908.81,629.76,8.8,725,811,2014,1425,766,5741,23399,699,518,95.06,2.84,2.1
2000-01-01,MUNICIPIO,35012,ES705,ES705A3,ES705A31,13136,34.4,6869,6267,91.24,11114,2022,15.39,2431,9654,1051,702,247,102,18.51,73.49,8,36.07,10.89,25.18,43.23,231.3,9.71,23.5,17142,76.63,11.8,359,477,1061,672,343,2912,9229,1672,2235,70.26,12.73,17.01
