date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2001-01-01,MUNICIPIO,35010,ES708,ES708A0,ES708A02,4285,39.5,2226,2059,92.5,3782,503,11.74,676,2921,688,413,190,85,15.78,68.17,16.06,46.7,23.55,23.14,101.78,98.26,12.35,27.62,14565.3,29.42,3.45,132,136,273,182,74,797,3328,415,542,77.67,9.68,12.65
2001-01-01,MUNICIPIO,35011,ES705,ES705A3,ES705A32,25237,34.2,12822,12415,96.83,24774,463,1.83,4701,18241,2295,1495,597,203,18.63,72.28,9.09,38.35,12.58,25.77,48.82,204.84,8.85,26.01,3908.81,645.64,11.85,816,874,1941,1449,753,5833,23870,711,656,94.58,2.82,2.6
2001-01-01,MUNICIPIO,35012,ES705,ES705A3,ES705A31,14321,34.9,7554,6767,89.58,11255,3066,21.41,2576,10559,1186,790,288,108,17.99,73.73,8.28,35.63,11.23,24.4,46.04,217.2,9.11,24.28,17142,83.54,17.89,435,466,1123,728,345,3097,9382,1645,3294,65.51,11.49,23
2001-01-01,MUNICIPIO,35013,ES705,ES705A2,ES705A22,8594,39.8,4344,4250,97.84,8554,40,0.47,1209,5989,1396,856,387,153,14.07,69.69,16.24,43.5,23.31,20.19,115.47,86.6,10.96,27.72,3220.46,266.86,1.24,76,259,560,413,199,1507,8338,157,99,97.02,1.83,1.15
2001-01-01,MUNICIPIO,35014,ES704,ES704A0,ES704A02,11376,32.9,6144,5232,85.16,9502,1874,16.47,1987,8703,686,445,172,69,17.47,76.5,6.03,30.71,7.88,22.83,34.52,289.65,10.06,25.07,35533.4,32.01,5.27,322,421,871,512,279,2405,5972,3220,2184,52.5,28.31,19.2
2001-01-01,MUNICIPIO,35015,ES704,ES704A0,ES704A03,14629,31.6,8465,6164,72.82,12107,2522,17.24,2136,12026,467,309,108,50,14.6,82.21,3.19,21.64,3.88,17.76,21.86,457.39,10.71,23.13,38493.8,38,6.55,436,424,847,543,268,2518,5709,6051,2869,39.03,41.36,19.61
2001-01-01,MUNICIPIO,35016,ES705,ES705A1,ES705A10,364777,37.5,178594,186183,104.25,350412,14365,3.94,56250,262235,46292,28429,13615,4248,15.42,71.89,12.69,39.1,17.65,21.45,82.3,121.51,9.18,29.41,10331.6,3530.69,139.04,10334,9967,22597,18022,9716,70636,305959,36948,21870,83.88,10.13,6
2001-01-01,MUNICIPIO,35017,ES704,ES704A0,ES704A02,23068,32.3,12151,10917,89.84,22089,979,4.24,4433,17104,1531,909,479,143,19.22,74.15,6.64,34.87,8.95,25.92,34.54,289.55,9.34,31.29,29077.1,79.33,3.37,822,871,1794,1276,705,5468,15698,5898,1472,68.05,25.57,6.38
2001-01-01,MUNICIPIO,35018,ES708,ES708A0,ES708A01,14835,32.5,7676,7159,93.26,13494,1341,9.04,2773,11240,822,485,239,98,18.69,75.77,5.54,31.98,7.31,24.67,29.64,337.35,11.92,29.08,4076.11,363.95,32.9,483,566,1185,733,384,3351,8728,4405,1702,58.83,29.69,11.47
2001-01-01,MUNICIPIO,35019,ES705,ES705A3,ES705A31,40825,35.3,21219,19606,92.4,32865,7960,19.5,6571,31187,3067,2022,795,250,16.1,76.39,7.51,30.9,9.83,21.07,46.67,214.25,8.15,25.92,33241.9,122.81,23.95,602,1207,3131,2189,1162,8291,26921,5086,8818,65.94,12.46,21.6
2001-01-01,MUNICIPIO,35030,ES704,ES704A0,ES704A03,10560,32.5,5644,4916,87.1,9945,615,5.82,2106,7649,805,504,223,78,19.94,72.43,7.62,38.06,10.52,27.53,38.22,261.61,9.69,27.7,27629.8,38.22,2.23,424,423,846,537,317,2547,7464,2351,745,70.68,22.26,7.05
2001-01-01,MUNICIPIO,35031,ES705,ES705A2,ES705A21,8139,35.1,4188,3951,94.34,8000,139,1.71,1518,5795,826,511,240,75,18.65,71.2,10.15,40.45,14.25,26.19,54.41,183.78,9.08,29.06,3880.13,209.76,3.58,260,292,638,440,212,1842,7719,219,201,94.84,2.69,2.47
